2026-02-15 19:30:05,What is the 'Emoji Attack' method proposed by Wei et al. (2025) and how does it affect Judge LLMs?,"The 'Emoji Attack' method proposed by Wei et al. (2025) exploits a vulnerability in Judge LLMs known as **token segmentation bias**. This bias occurs when emojis or other delimiters alter the tokenization process, splitting words into smaller sub-tokens and causing distortions in the embeddings of the entire sequence (Wei, Liu and Erichson, 2025).

This attack leverages **in-context learning** to systematically insert emojis into text before it is evaluated by a Judge LLM. The insertion induces embedding distortions and introduces semantic ambiguity, which significantly reduces the detection accuracy of the Judge LLM (Wei, Liu and Erichson, 2025).

As a result, the 'Emoji Attack' enables harmful content to be **misclassified as safe**, effectively bypassing existing safeguards and detection mechanisms (Wei, Liu and Erichson, 2025).

### References
- **Wei2025**: Zhipeng Wei, Yuqi Liu, Benjamin Erichson (2025). *Emoji Attack: Enhancing Jailbreak Attacks Against Judge LLM Detection*. [Link](https://arxiv.org/abs/2411.01077v5)",Wei2025|Wei2025|Wei2025|Cui2025|Wei2025,24.37,deepseek-r1
2026-02-15 19:30:17,"According to Chen et al. (2024), how do gender and age influence emoji comprehension?","According to Chen et al. (2024), their study examined the influence of gender, age, and culture on emoji comprehension, but the provided context does not explicitly detail the specific findings or mechanisms of how these factors influence comprehension (Chen et al., 2024).

### References
- **Chen2024**: Yihua Chen, Xingchen Yang, Hannah Howman, Ruth Filik (2024). *Individual differences in emoji comprehension: Gender, age, and culture*. [Link](https://doi.org/10.1371/journal.pone.0297379)",Zheng2025|Qiu2024|Chen2024|Zheng2025|Zheng2025,11.84,deepseek-r1
2026-02-15 19:30:30,What is 'EmojiLM' and how was the Text2Emoji corpus created?,"'EmojiLM' is a model used for English-Emoji translation, as evidenced by its evaluation in the Text2Emoji corpus. The Text2Emoji corpus was created using large language models (LLMs), though the exact methodology is not explicitly detailed in the provided context. (Peng et al., 2023)

### References
- **Peng2023**: Letian Peng, ZilongWang, Hang Liu, ZihanWang, Jingbo Shang (2023). *EmojiLM: Modeling the New Emoji Language*. [Link](https://arxiv.org/abs/2311.01751)",Peng2023|Peng2023|Peng2023|Zappavigna2025|Zappavigna2025,13.71,deepseek-r1
2026-02-15 19:30:46,Describe the 'Emojinize' system. How does it translate text to emojis?,"The 'Emojinize' system is an automatic translation system that converts English text into sequences of one or more emojis (Klein, Aydin and West, 2024). It leverages large language models (LLMs) to understand the semantic meaning of text and translate it into emoji sequences (Klein, Aydin and West, 2024). Unlike existing systems that use static lookup tables or next-token prediction, Emojinize considers both prior and subsequent contexts to disambiguate synonyms and ensure accurate translation (Klein, Aydin and West, 2024). It can handle both singular words and multi-word expressions by composing multiple emojis to express complex concepts (Klein, Aydin and West, 2024). The system's flexibility allows it to translate arbitrary text passages without requiring human input (Klein, Aydin and West, 2024).

### References
- **Klein2024**: Lars Klein, Roland Aydin, Robert West (2024). *Emojinize: Enriching Any Text with Emoji Translations*. [Link](https://arxiv.org/abs/2403.03857)",Klein2024|Klein2024|Klein2024|Klein2024|Klein2024,15.73,deepseek-r1
2026-02-15 19:30:55,What success rate did Gopinadh and Hussain (2026) report for emoji-based jailbreaking on the Qwen 2 7B model?,"The success rate for emoji-based jailbreaking on the Qwen 2 7B model was 0% (Gopinadh and Hussain, 2026).

### References
- **Gopinadh2026**: M P V S Gopinadh, S Mahaboob Hussain (2026). *EMOJI-BASED JAILBREAKING OF LARGE LANGUAGE MODELS*. [Link](https://arxiv.org/abs/2601.00936v1)",Gopinadh2026|Gopinadh2026|Gopinadh2026|Gopinadh2026|Gopinadh2026,8.62,deepseek-r1
2026-02-15 19:31:08,How does 'EmojiPrompt' obfuscate private data in cloud-based LLM interactions?,"EmojiPrompt obfuscates private data by using Large Language Models (LLMs) to perform a generative transformation. This process converts private data from natural language into non-natural language forms by incorporating a mixture of linguistic elements (e.g., abbreviated characters) and non-linguistic elements (e.g., emojis, emoticons, mathematical and logical operators) (Lin et al., 2025). Additionally, EmojiPrompt employs an atomic-level obfuscation strategy, which partitions private data into smaller modular units, obfuscates each unit separately, and then reconstructs the obfuscated data from these individual components (Lin et al., 2025).

### References
- **Lin2025**: Sam Lin, Wenyue Hua, Zhenting Wang, Mingyu Jin, Lizhou Fan, Yongfeng Zhang (2025). *EmojiPrompt: Generative Prompt Obfuscation for Privacy-Preserving Communication with Cloud-based LLMs*. [Link](https://arxiv.org/abs/2402.05868)",Lin2025|Lin2025|Lin2025|Lin2025|Lin2025,13.82,deepseek-r1
2026-02-15 19:33:35,"According to Zappavigna (2025), what are the two main ways LLMs use emojis as interpersonal resources?","Based on the provided context, the study by Zappavigna (2025) identifies that LLMs use emojis as interpersonal resources primarily to shape interpersonal tone and build rapport. These functions are achieved by softening requests, signalling enthusiasm, and fostering a sense of connection (Zappavigna and Doran, 2025).

However, the context does not explicitly state two distinct ""main ways"" but rather describes these as key functions within the broader analysis using the tenor system (TUNING) and the system of emoji-text convergence (Zappavigna and Doran, 2025). The study focuses on how these emoji functions contribute to making chatbots appear friendly and supportive (Zappavigna and Doran, 2025).

Therefore, while the study highlights these interpersonal functions, it does not explicitly define two separate main ways beyond the framework of the tenor system and emoji-text convergence (Zappavigna and Doran, 2025).

### References
- **Zappavigna2025**: Michele Zappavigna, Y.J. Doran (2025). *Emoji as interpersonal resources in LLM chatbot conversations: a social semiotic analysis of tenor and affiliation in human–AI interaction*. [Link](https://doi.org/10.1080/10350330.2025.2570317)",Zappavigna2025|Zappavigna2025|Zappavigna2025|Zappavigna2025|Zappavigna2025,146.29,deepseek-r1
2026-02-15 19:34:00,What method does Zhang (2025) introduce in 'Emoti-Attack'?,"Zhang (2025) introduces the **Emoji-Attack** method in 'Emoti-Attack' (Zhang, 2025). This method leverages emojis to create subtle, zero-perturbation adversarial attacks on NLP systems, targeting emojis as a distinct layer of attack to minimize perceptibility while maintaining effectiveness.

### References
- **Zhang2025**: Yangshijie Zhang (2025). *Emoti-Attack: Zero-Perturbation Adversarial Attacks on NLP Systems via Emoji Sequences*. [Link](https://arxiv.org/abs/2502.17392v1)",Zhang2025|Wei2025|Wei2025|Huang2025|Grover2025,25.38,deepseek-r1
2026-02-15 19:34:28,"How does ChatGPT perform when annotating emoji irony compared to humans, according to Zhou et al. (2025)?","Based on the provided context, there is no information from Zhou et al. (2025) regarding ChatGPT's performance in annotating emoji irony. The study by Zhou et al. (2025) in the context focuses on sentiment annotation and downstream tasks, not irony detection. (Zhou et al., 2025)

### References
- **Zhou2025**: Yuhang Zhou, Paiheng Xu, Xiyao Wang, Xuan Lu, Ge Gao, Wei Ai (2025). *Emojis Decoded: Leveraging ChatGPT for Enhanced Understanding in Social Media Communications*. [Link](https://arxiv.org/abs/2402.01681)",Zhou2025|Zheng2025|Zheng2025|Zheng2025|Zhou2025,28.25,deepseek-r1
2026-02-15 19:34:56,"What is the specific vulnerability identified in 'Small Symbols, Big Risks' regarding ASCII-based emoticons?","The specific vulnerability identified in ""Small Symbols, Big Risks"" is **emoticon semantic confusion**, where Large Language Models (LLMs) misinterpret ASCII-based emoticons as part of the user's instruction, leading to unintended and potentially destructive actions (Jiang et al., 2026). This vulnerability is pervasive, with an average confusion ratio exceeding 38%, and often results in ""silent failures""—syntactically valid outputs that deviate from user intent (Jiang et al., 2026).

### References
- **Jiang2026**: Weipeng Jiang, Xiaoyu Zhang, Juan Zhai, Shiqing Ma, Chao Shen, Yang Liu (2026). *Small Symbols, Big Risks: Exploring Emoticon Semantic Confusion in Large Language Models*. [Link](https://arxiv.org/abs/2601.07885)",Jiang2026|Jiang2026|Jiang2026|Jiang2026|Cui2025,27.42,deepseek-r1
